meeting_id,caption,speaker,caption_group_id,st,en
0,Here we go .,Project Manager,1,1,721
0,Welcome everybody .,Project Manager,1,921,2061
0,"Um , I'm Abigail Claflin .",Project Manager,1,2261,3821
0,You can call me Abbie .,Project Manager,1,4021,5401
0,'S see .,Project Manager,1,5601,6081
0,"PowerPoint , that's not it .",Project Manager,1,6281,7961
0,There we go .,Project Manager,1,8161,8941
0,So this is our kick off meeting .,Project Manager,1,9141,11121
0,Um and I guess we should all get acquainted {vocalsound} .,Project Manager,1,11321,14801
0,{vocalsound} Let's {disfmarker} shall we all introduce ourselves ?,Project Manager,1,15001,18961
0,"Hi I'm Chiara , I'm the um Marketing Expert .",Marketing,2,19161,21861
0,"Um , would you like me to talk about my aims at the moment , or would you like me to just say my name and then we can talk about business later ?",Marketing,2,22061,30761
0,"I think we'll get around to that , yeah .",Project Manager,3,30961,33421
0,So this is just introductions yeah .,Project Manager,3,33621,35781
0,We'll get round to that later .,Marketing,4,35981,37841
0,My name is Chiara and I'm the Marketing Expert .,Marketing,4,38041,40921
0,Okay .,Project Manager,5,41121,41481
0,"I forgot to s say I'm the Project Manager but I figured you all knew that already ,",Project Manager,5,41681,46661
0,{vocalsound},Industrial Designer,6,46861,47581
0,{vocalsound},User Interface,7,47781,48501
0,{vocalsound} um so .,Project Manager,8,48701,49901
0,{vocalsound} I'm Stephanie and I am the User Interface Designer .,User Interface,9,50101,54001
0,I'm Krista and I'm the Industrial Designer .,Industrial Designer,10,54201,56841
0,Okay .,Project Manager,11,57041,57401
0,Um so f here's our agenda for today .,Project Manager,11,57601,59821
0,"Um we're gonna do some tool training , project plan and discuss then close .",Project Manager,11,60021,64581
0,{vocalsound} Um so .,Project Manager,11,64781,65981
0,"So our aim is to produce a remote control that is original , trendy and user friendly .",Project Manager,11,66181,71401
0,"And to do this , we have to {disfmarker} um there's certain things we have to consider about functional aspects and conceptual design of the thing .",Project Manager,11,71601,80481
0,So .,Project Manager,11,80681,80921
0,We'll get to that .,Project Manager,11,81121,82261
0,Oh there it is .,Project Manager,11,82461,83421
0,Right .,Project Manager,11,83621,84041
0,"Functional design , conceptual design and detailed design .",Project Manager,11,84241,87781
0,So throughout our next couple of meetings we'll we'll be covering these things .,Project Manager,11,87981,92781
0,Um {vocalsound} so we're gonna try out our white board .,Project Manager,11,92981,96341
0,"If we'll all draw our favourite animal , to sum up the characteristics of that animal .",Project Manager,11,96541,101761
0,Okay .,Project Manager,11,101961,102321
0,So you want us to draw it and then talk about it ?,User Interface,12,102521,105521
0,Or just draw it ?,User Interface,12,105721,106741
0,{vocalsound},Project Manager,13,106941,107661
0,I think both .,Marketing,14,107861,108701
0,{vocalsound},Marketing,14,108901,109621
0,Yeah .,Project Manager,15,109821,110181
0,Both .,Project Manager,15,110381,110741
0,Yeah {vocalsound} .,Project Manager,15,110941,112081
0,Okay .,User Interface,16,112281,112641
0,Why don't we do both .,User Interface,16,112841,114161
0,Right .,User Interface,16,114361,114781
0,Who starts ?,Marketing,17,114981,115701
0,We ought to decide who starts and {vocalsound} all that .,Marketing,17,115901,119321
0,No ?,Marketing,17,119521,119761
0,Any volunteers ?,Project Manager,18,119961,120921
0,Uh-huh .,Marketing,19,121121,121601
0,Does anyone know what they wanna draw ?,Project Manager,20,121801,124141
0,{vocalsound},Project Manager,20,124341,125061
0,{vocalsound},Industrial Designer,21,125261,125981
0,"Mm , I gotta think about it for a second like .",User Interface,22,126181,129001
0,"Uh {disfmarker} Does it have to be {vocalsound} functional , trendy and user friendly ?",User Interface,22,129201,134421
0,{vocalsound},User Interface,22,134621,135341
0,{vocalsound} I don't think so .,Project Manager,23,135541,137401
0,{vocalsound},Industrial Designer,24,137601,138321
0,Um .,User Interface,25,138521,138761
0,"Okay , I'll draw .",User Interface,25,138961,140041
0,I'll draw one .,User Interface,25,140241,141141
0,{gap},Project Manager,26,141341,141641
